Gene Accession Number,1,2,3,4,5,6,7,8,9,10,11,12,13,…
U17838_at,668,161,716,319,188,473,21,91,499,80,223,159,423,…
U17969_at,1145,1988,2125,367,43,723,578,4,4590,-626,1558,1027,413,…
U18259_at,540,-120,-19,345,446,8,16,508,-15,-97,19,-30,409,…
U18422_at,-150,447,286,-9,-63,451,-13,32,166,235,39,-73,-92,…
U18550_at,-510,169,-354,-271,271,-245,-119,-1296,-271,20,116,-68,-131,…
U20760_at,158,52,148,202,84,245,136,137,246,83,19,93,35,…
U20938_at,35,255,223,157,94,147,124,65,304,21,175,-17,65,…
U22680_at,-161,-116,-139,-125,-137,-119,-100,-161,-73,-30,-72,-83,-31,…
U22815_at,43,-26,156,12,31,-5,-16,43,9,-7,47,-24,23,…
U22816_at,31,50,45,-6,18,17,48,71,76,35,18,-1,40,…
U25771_at,201,178,339,350,125,339,260,485,387,79,34,297,166,…
U25988_at,1083,1447,1481,1003,713,1799,1003,1332,1138,695,777,405,406,…
U26424_at,113,63,51,112,148,14,107,22,41,8,0,-30,297,…
U28049_at,344,176,354,344,157,312,406,500,384,236,99,271,141,…
U28055_at,45,71,172,166,-12,26,181,302,106,76,128,83,69,…
U31556_at,513,272,255,233,112,97,-5,835,275,429,261,74,419,…
U33632_at,54,27,66,84,43,10,48,112,53,54,81,-8,-14,…
U33841_at,611,35,460,463,317,202,297,511,160,101,169,37,162,…
U34587_at,640,111,148,618,224,190,159,274,163,96,175,132,445,…
U35376_at,-18,0,10,-6,23,-17,33,-35,-62,22,-3,14,14,…
U36341_rna1_at,849,659,737,1144,617,684,1110,1010,916,607,450,377,300,…
U37146_at,569,1162,1520,455,839,1098,567,383,3034,922,1667,178,981,…
U37426_at,138,-37,108,206,294,23,-36,-17,457,107,292,-11,751,…
U38276_at,644,757,1156,718,363,389,557,608,852,448,376,675,366,…
U38291_rna1_at,287,545,70,111,101,336,154,320,465,-33,238,137,79,…
U40571_at,106,55,23,21,118,92,87,154,88,134,123,27,-17,…
U40705_at,-38,-19,10,338,-16,-55,-110,295,338,-163,-29,148,60,…
U41518_at,448,260,341,473,186,270,344,589,419,417,312,156,234,…
U41654_at,656,998,319,752,801,92,398,473,444,472,268,173,880,…
U41740_at,191,186,231,160,156,124,99,169,61,120,344,-11,305,…
U43653_at,-158,-101,-226,-60,-84,-147,-75,-103,-169,-88,-121,-30,-70,…
U47077_at,251,318,241,174,436,248,179,257,386,123,220,41,479,…
U47292_at,56,32,94,-18,23,-8,117,119,75,88,95,79,82,…
U49516_at,-83,-61,-39,-20,-26,-17,-67,-38,-22,-41,-36,-37,-10,…
U50196_at,238,228,424,297,339,117,299,337,301,213,214,107,220,…
U53204_at,1860,1351,2056,453,1058,2048,969,370,2844,1201,1754,640,1799,…
U57627_at,-74,-98,-69,-136,-86,-204,-53,-199,-156,-68,-167,-156,-39,…
U58675_cds1_at,-25,-52,38,58,-24,-28,23,74,20,56,-58,-38,49,…
U58675_cds2_at,428,373,643,285,326,323,325,322,619,311,227,-145,269,…
U60061_at,126,131,20,277,393,58,322,53,205,94,198,8,261,…
U61500_at,192,112,242,213,142,188,258,188,263,50,124,50,209,…
U61981_at,115,88,141,82,141,97,5,-4,62,16,32,22,71,…
U62438_at,40,3,69,74,62,-103,104,-40,-28,67,35,28,80,…
U67615_at,8,7,6,90,166,152,75,-47,-24,62,-86,34,287,…
U72649_at,2344,4202,1579,1974,1964,1438,1413,3165,2324,1864,1482,1191,3840,…
U73936_at,-72,-1,-15,50,11,64,-25,-43,22,42,-4,-47,7,…
U74324_at,7,-153,-106,-69,-4,14,-92,-182,-30,-72,-7,-51,-51,…
U82467_at,-147,-73,67,-86,268,-209,-161,-343,-185,-141,-107,-369,65,…
U83171_at,1391,1170,1435,1480,1076,620,988,1520,1422,1234,956,569,1029,…
U94832_at,456,459,442,319,835,362,512,329,1099,573,1246,192,1155,…
U94836_at,-47,-142,42,-26,235,-131,240,-641,-186,-367,79,45,392,…
U95626_rna3_at,-27,-31,-30,-89,31,-49,-117,-76,-42,-42,-3,-35,-14,…
U96131_at,288,284,638,319,250,197,307,286,472,375,290,113,337,…
U96136_at,26,13,118,42,39,62,67,67,132,27,59,28,56,…
V00536_rna1_at,75,102,131,-10,25,32,48,43,20,39,65,74,31,…
X02160_at,2864,90,2,662,457,23,1443,473,36,8,46,181,160,…
X02883_at,-90,-73,-63,-121,-122,-42,-104,-209,-146,3,-109,-63,-60,…
X03350_at,53,90,125,34,59,138,149,76,148,78,48,18,101,…
X04526_at,2762,2064,2767,1909,2649,1900,2169,3365,5018,2101,3320,1159,2820,…
X05309_at,114,66,140,25,90,199,63,86,147,165,236,21,68,…
X05610_at,439,235,441,377,156,277,544,458,434,287,253,247,265,…
X06268_at,173,146,230,193,132,161,147,110,184,80,108,18,116,…
X07203_at,280,7,-80,-61,-59,126,-151,-109,-111,-21,-43,-22,85,…
X12671_rna1_at,3354,5648,5144,3901,6790,4500,3110,4607,9451,5971,9401,3735,5823,…
X14766_at,695,406,729,663,415,416,777,620,676,287,489,419,419,…
X15422_at,88,36,107,70,29,60,25,62,45,18,54,28,44,…
X15675_at,-189,-51,-110,-21,-35,-160,-57,-152,-51,-109,-148,-11,-71,…
X16281_at,-58,-6,-140,-41,-16,71,-6,-173,-120,-55,-50,-93,13,…
X16323_at,10,12,27,20,108,19,-36,49,5,30,-5,10,8,…
X16866_at,47,-15,-65,93,170,110,-78,-262,60,-31,116,70,-25,…
X17360_rna1_at,283,208,328,211,235,51,120,-50,163,184,223,74,-10,…
X52022_at,96,-25,19,26,97,110,35,-14,104,2,81,47,52,…
X52075_rna1_at,9,0,-28,157,35,16,-20,143,20,-37,35,30,-17,…
X52228_at,-318,-17,-70,-93,24,-649,-144,-2,-112,-357,96,-61,-46,…
X54741_at,-1062,-1549,-1186,-1643,-662,-874,-1658,-1934,-1856,-961,-616,-310,-808,…
X55005_rna1_at,432,391,565,582,309,638,730,430,491,364,312,311,301,…
X55990_rna1_at,320,257,558,522,2670,332,443,284,396,125,182,337,263,…
X56841_at,1370,2601,820,1288,1437,633,915,1200,972,450,1162,1498,2953,…
X57985_rna2_at,469,81,20,168,377,24,620,32,66,521,34,1225,559,…
X58072_at,-31,404,260,-55,-4,103,-166,358,214,508,132,27,-40,…
X59739_at,30,190,128,176,174,23,90,125,174,13,266,61,639,…
X63468_at,219,84,116,122,270,87,184,65,143,103,61,-33,231,…
X63717_at,313,175,376,130,229,209,243,235,137,221,102,192,73,…
X64994_at,249,126,362,262,166,115,-21,427,324,157,289,60,234,…
X65463_at,-311,372,118,-577,162,-113,-97,-704,-296,256,265,18,304,…
X65488_at,1245,1820,1452,1058,2007,962,927,956,1881,1443,1849,329,1911,…
X65857_at,294,53,277,310,153,174,320,352,220,140,153,84,52,…
X66087_at,98,105,195,25,64,55,104,98,103,79,88,31,112,…
X66785_at,1854,1435,1949,2289,906,1646,1552,1316,1320,1532,962,1076,1174,…
X70811_at,190,206,213,80,138,94,70,82,-10,71,147,97,109,…
X71661_at,-43,40,4,-2,7,-14,-10,-43,63,-32,82,1,44,…
X72727_at,2182,2724,2676,1336,2417,1191,1313,2214,2719,1250,4192,659,2611,…
X72889_at,653,733,120,749,1119,120,1356,310,345,78,29,-22,966,…
X73478_at,922,1338,1205,207,751,512,347,613,1746,857,521,248,1564,…
X74142_at,35,-14,-35,-119,-13,-12,-53,-61,43,-16,-31,-56,2,…
X75918_at,-30,65,-104,-68,1,-8,-6,-20,-9,14,-56,145,52,…
X77753_at,167,50,182,79,34,62,73,61,168,54,46,24,58,…
X78338_at,872,1197,1227,651,631,899,504,983,1097,385,1063,372,559,…
X78686_at,131,22,76,144,23,53,1,113,24,35,63,53,49,…
X78932_at,-11,20,10,-39,-30,-46,-100,-86,-15,1,50,12,57,…
X80818_at,3506,2649,4016,3108,2560,2517,3069,2739,3337,2244,2244,2096,3177,…
X81625_at,256,401,369,331,606,186,238,166,470,258,614,195,339,…
X82209_at,-150,-263,-473,-222,129,-170,-134,-260,-452,-247,-137,-5,20,…
X82835_at,-63,-38,-7,-72,-17,-12,-107,-107,-23,-1,-42,-47,-25,…
X83228_at,-111,-62,-119,-99,-24,-85,-117,-128,-74,-18,-78,-91,-31,…
X89430_at,357,-40,-47,144,183,192,-65,130,50,12,-34,132,75,…
X90392_at,478,81,-210,57,48,53,72,32,28,-96,-83,166,275,…
X92368_at,32,21,26,7,8,-62,30,-70,46,20,-29,48,10,…
X95525_at,67,-8,134,92,99,8,77,28,154,85,67,-14,137,…
X95677_at,119,141,550,62,88,373,-75,112,413,109,158,-35,86,…
X99975_at,66,-21,-33,-5,28,87,-21,-35,-86,47,-6,45,3,…
Y00264_at,320,34,63,-11,125,-12,-35,268,37,32,-27,181,721,…
Y07909_at,83,11,39,10,340,14,-11,-14,173,12,10,66,58,…
Y09445_at,-588,-263,-796,-360,-196,-213,-401,-583,-385,-322,-462,-162,-151,…
Z15115_at,8444,1920,3118,4261,3425,1790,3810,6153,3303,1329,2525,1277,6216,…
Z18956_at,107,114,182,115,94,147,154,71,261,113,198,44,128,…
Z23091_rna1_at,-24,-51,-101,5,-30,-12,-36,-94,15,-13,13,-112,-58,…
Z31695_at,-573,-235,-479,-617,-11,-819,-115,-565,-319,-570,-540,-333,-17,…
Z48482_at,-502,-166,-597,-819,-381,-693,-811,-1054,-984,-434,-563,-616,-390,…
Z74615_at,954,1749,1822,1549,453,1728,2118,2722,1753,789,1499,1494,1392,…
D86974_at,21011,25240,14950,31449,12606,24722,30267,34136,13273,6933,14048,9098,16617,…
HG2157-HT2227_at,-34,-80,-394,-122,-3,-328,-325,-11,-301,150,-64,-182,38,…
J03060_at,-370,-182,-107,-142,-57,-69,-132,-517,-232,-80,-114,-58,-33,…
L41390_at,124,118,-2,108,118,-51,3,271,41,-25,6,54,42,…
M37485_cds1_at,-310,-120,-239,-191,-163,-110,-201,-308,-145,-105,-171,-58,-171,…
S62907_s_at,-87,-63,-130,-96,-58,-26,-104,-55,-4,-26,-80,-41,-40,…
AB000381_s_at,29,8,11,38,50,35,142,122,80,72,-12,-8,52,…
AB000410_s_at,-336,-361,-508,-116,-129,-448,-331,-562,-542,-89,-281,-379,64,…
AB000816_s_at,-30,-5,-94,-20,8,19,-31,-25,-209,-38,-40,-70,-20,…
AB005535_s_at,-16,-53,-130,-41,-41,28,-92,-119,-86,-68,-49,-67,-24,…
AB002356_s_at,1813,1033,1900,1502,1467,1171,1759,2112,1969,862,932,728,1442,…
X95808_s_at,708,175,236,476,345,44,428,-35,603,462,293,1,736,…
Y12393_s_at,112,240,65,111,143,-3,10,164,106,96,134,33,65,…
AB006781_s_at,3,70,247,56,105,136,68,67,104,175,43,204,41,…
Z49107_s_at,3226,2033,3065,2567,2090,2350,2517,5309,1739,1199,1199,1493,1316,…
AC000063_s_at,414,299,459,214,96,382,569,545,378,287,266,258,349,…
AC002045_xpt2_s_at,2538,3684,2309,3237,2541,2519,2977,3141,2342,1093,3164,1069,2277,…
S62027_s_at,-77,-30,-79,-27,-41,23,-31,-44,-23,-36,-52,22,-47,…
AC002477_s_at,840,752,675,726,544,398,569,356,545,466,560,455,476,…
AD000092_cds7_s_at,58,128,55,5,-174,156,287,-1188,323,-706,487,70,-333,…
D10667_s_at,-145,-75,-47,-89,-32,-76,-89,-100,-121,-83,-12,-120,-19,…
AF001787_s_at,-178,-63,-114,-123,-33,-94,-38,-188,-73,-119,-131,-60,-65,…
S76853_s_at,10,0,-35,53,-18,30,20,-56,21,-39,-26,-25,5,…
AF012024_s_at,257,46,139,168,94,197,188,61,269,99,132,54,89,…
AJ000099_s_at,987,713,1102,1267,1006,1333,1571,1697,1722,687,1242,939,803,…
D00408_at,-58,19,15,38,46,-44,28,118,44,-12,32,71,6,…
D00408_s_at,315,78,345,138,144,247,285,620,247,96,16,93,-4,…
D00003_at,-963,-592,-1074,-937,-548,-732,-888,-1344,-1459,-507,-827,-635,-666,…
D00003_s_at,2,-21,1,-266,-22,46,43,49,-41,-42,-8,-54,-22,…
X83416_s_at,117,494,55,283,235,67,245,232,316,118,310,408,559,…
M23178_s_at,68,840,58,114,55,48,191,235,99,241,139,313,74,…
D00097_s_at,-240,-78,-61,-183,-83,-51,-216,-259,-165,-54,-8,-127,-59,…
X02419_rna1_s_at,104,1,13,186,35,101,20,221,225,66,38,-14,76,…
M18700_s_at,577,511,634,384,259,430,307,632,484,141,419,298,284,…
Y00097_s_at,918,1217,2016,737,1564,1024,383,1296,2806,968,1455,186,469,…
M37271_s_at,667,1439,3448,650,524,2946,710,805,3467,2418,1368,692,223,…
D00749_s_at,1897,3753,8776,1208,1489,5585,1211,1104,10739,5078,3920,688,1144,…
X15331_s_at,1262,915,1652,709,348,944,806,1466,633,544,480,454,1115,…
L09229_s_at,879,549,853,802,500,369,1428,1083,877,706,416,456,427,…
X62429_s_at,40,6,33,24,24,-26,85,107,35,14,22,-14,3,…
L32832_s_at,-16,175,-7,166,133,1,139,850,96,117,91,135,102,…
D10326_s_at,-2598,-2822,-2549,-2839,-1751,-2633,-2743,-3233,-3110,-2111,-1831,-2092,-1694,…
D10537_s_at,334,434,209,337,134,362,534,721,457,311,111,600,-8,…
L24893_s_at,0,-43,-74,-151,-43,-104,-68,-22,38,-106,-41,-76,-24,…
D10922_s_at,-26,-29,-7,-47,-19,-58,1,127,-61,-25,-28,-20,-26,…
L06797_s_at,9144,4090,3192,4750,7453,1897,7593,13214,2551,1983,3680,5705,13883,…
L09230_s_at,-192,-64,-354,-202,-69,-252,-173,-194,-332,-178,-126,-202,-98,…
D11327_s_at,180,604,1111,36,67,657,134,43,1159,363,222,71,98,…
D12620_s_at,-11,45,-91,-107,130,-62,8,-79,75,76,-37,-83,49,…
D12775_s_at,381,329,313,395,221,172,613,191,241,149,175,333,347,…
M19650_s_at,198,283,433,346,209,489,275,128,371,321,280,183,215,…
S50017_s_at,496,471,571,644,342,677,655,778,612,415,522,389,324,…
M15465_s_at,285,299,752,-53,181,519,33,470,400,307,220,194,237,…
D79206_s_at,639,635,1158,683,510,823,695,782,899,673,556,801,563,…
HG1686-HT4572_s_at,-191,-33,-295,59,213,-124,-376,35,24,27,146,285,52,…
D13413_rna1_s_at,17139,21863,18189,18894,15341,16876,15252,17138,21607,16595,12754,19110,11793,…
D13631_s_at,835,492,380,655,484,449,566,251,336,182,149,587,1081,…
D13638_s_at,-26,-16,-75,-58,-14,19,-94,-92,-58,-37,-50,-35,-42,…
D13666_s_at,1,27,72,-24,8,64,42,4,132,33,43,20,40,…
D13705_s_at,519,701,658,1209,292,1138,1374,989,628,692,578,755,478,…
D13720_s_at,312,396,434,201,125,280,258,364,288,178,207,110,137,…
D13814_s_at,242,28,203,66,51,56,105,86,117,44,85,11,69,…
HG1400-HT1400_s_at,447,344,427,364,627,183,221,263,827,95,188,132,994,…
HG2348-HT2444_s_at,339,-241,469,147,8,257,45,223,-146,105,243,-12,-53,…
HG3362-HT3539_s_at,263,325,47,310,128,60,369,406,338,224,276,182,65,…
HG1699-HT1704_s_at,-94,-25,-23,39,33,96,26,-107,2,-79,6,-2,-32,…
U41766_s_at,-23,39,-58,-57,13,12,8,-32,12,60,138,1,83,…
D14826_s_at,49,252,55,95,57,129,63,67,111,62,76,63,140,…
S68271_s_at,1,308,233,-13,62,46,90,70,146,79,202,102,77,…
HG2075-HT2137_s_at,-50,-75,0,-111,5,-33,-50,-101,-56,-25,3,-44,-38,…
X52213_s_at,-321,-313,-555,-152,185,-360,-378,-53,-386,-357,-68,-215,-64,…
Z49835_s_at,922,1230,838,710,1436,585,576,433,1686,852,1441,791,985,…
HG4541-HT4946_s_at,2215,2320,3009,2013,1963,2094,2144,3566,3927,2200,2588,1056,2085,…
D16611_s_at,154,62,132,-11,116,72,136,74,124,119,28,15,112,…
D16688_s_at,-139,320,-115,-1,0,14,-26,-112,48,-12,-80,-56,-65,…
D16827_s_at,-319,-141,-643,-365,-83,-426,-361,-376,-27,-181,-318,-336,-239,…
D17408_s_at,-26,-53,-118,-123,3,-32,-73,-160,11,-91,-19,-22,6,…
X83929_s_at,4,-64,-63,-66,-45,-8,-94,-53,-56,-80,-81,27,-15,…
U00802_s_at,109,-483,-145,-878,-71,-218,-783,-274,73,-28,-248,-442,506,…
Z11685_s_at,108,175,25,67,104,24,82,128,133,149,97,57,76,…
S69231_s_at,-171,-242,-345,-236,-5,-328,-134,-526,-303,-217,-103,-158,-544,…
D17570_s_at,-209,-171,-195,-191,-34,-46,-295,-281,-150,-54,-171,-80,-79,…
X91653_s_at,240,76,250,76,104,78,134,169,92,43,98,7,97,…
D21241_xpt1_s_at,212,57,175,57,32,-104,164,151,187,190,56,81,103,…
U23850_s_at,409,147,189,172,98,-39,164,295,213,31,143,61,140,…
D26155_s_at,72,138,-52,191,288,-35,247,-38,64,21,-24,-33,86,…
D26156_s_at,1595,822,1452,654,1011,1584,578,1024,1297,971,1913,329,1593,…
U62293_rna1_s_at,-158,59,-25,-216,196,-192,-176,38,91,54,83,-107,100,…
X77922_s_at,105,53,85,71,33,46,28,94,43,59,10,43,20,…
D87716_s_at,66,144,45,234,217,-7,82,71,135,-10,165,5,132,…
D26535_s_at,725,282,412,525,627,291,594,283,642,198,294,284,572,…
L15326_s_at,-145,-170,-103,-21,-91,-5,53,-11,-120,-6,12,-17,-43,…
D28235_s_at,17,10,21,-22,14,-10,21,52,-5,7,-9,-27,-16,…
D28473_s_at,469,249,538,688,1084,222,856,338,484,248,298,122,600,…
D28539_s_at,-61,-22,-123,-103,-46,-110,-45,-124,-34,-85,-157,-81,-74,…
X59842_rna1_s_at,8,324,-115,328,19,257,-509,250,160,696,-152,140,-6,…
S78467_s_at,19,117,123,84,67,28,-5,58,77,70,112,0,65,…
D29640_s_at,462,307,323,588,636,163,309,235,550,93,242,178,191,…
D29675_at,-152,-164,-59,-27,-140,-83,283,71,78,99,-102,175,-161,…
D29675_s_at,796,815,1058,955,480,672,895,773,1164,1295,894,225,427,…
U34380_rna1_s_at,383,356,554,374,256,243,334,608,390,230,328,160,332,…
U10473_s_at,-23,50,65,46,12,-7,-13,11,104,30,68,33,10,…
X14085_s_at,1337,1001,1681,1238,901,965,952,1142,980,1094,856,527,1209,…
L00190_s_at,140,39,187,266,70,0,100,76,172,25,33,-17,92,…
L27624_s_at,-15,-13,-12,33,-32,-14,-31,5,7,-13,21,-68,-46,…
D30715_xpt5_s_at,456,147,554,422,333,357,507,559,370,16,49,171,115,…
D31628_s_at,1,2,-183,-240,-52,0,85,31,-94,-117,-160,74,-84,…
X68688_rna1_s_at,303,1,273,425,272,369,-257,-145,-148,529,96,242,321,…
D31833_s_at,-260,-178,-217,-334,-113,-165,-124,-266,-197,-70,-77,-120,-141,…
L10377_s_at,-244,-46,153,-230,-4,-225,-168,-439,-225,-50,-312,-465,4,…
D31840_s_at,491,334,439,261,231,16,282,764,355,39,359,239,283,…
S79862_s_at,-11,0,12,-15,0,-26,0,-22,3,-7,-26,-20,-3,…
X82279_s_at,132,23,141,-132,-53,-19,-99,8,111,-67,-49,-5,-59,…
D32002_s_at,-423,-407,-469,-168,-64,-423,-376,-1112,-506,-508,-378,-132,-195,…
HG4312-HT4582_s_at,3049,11476,5420,2558,2733,2272,1834,3362,4463,2413,2744,2134,2505,…
D37781_s_at,24,65,-25,22,1,-30,5,-62,-49,21,-6,30,-22,…
HG4169-HT4439_s_at,-4,5,-95,-37,21,-87,-26,-7,-31,21,-32,14,-20,…
D37984_s_at,31,46,152,105,159,56,70,44,111,20,82,0,79,…
X62153_s_at,1242,895,1808,1039,1132,1659,692,535,2223,642,965,547,1532,…
U27325_s_at,1194,848,1798,1885,927,1138,1147,472,1714,1266,1222,636,597,…
U11821_s_at,23,20,2,-5,-11,51,48,62,9,-39,-1,25,7,…
D38163_s_at,-103,-117,2,45,-292,-177,-240,235,-86,-72,-110,-224,-47,…
D38251_s_at,567,913,913,449,1197,419,567,-82,1816,994,990,201,608,…
S68874_s_at,555,688,452,912,531,473,453,433,598,614,391,477,506,…
D38496_s_at,197,300,370,68,382,135,152,25,212,56,121,68,44,…
U38964_s_at,968,309,531,765,538,529,613,446,551,525,172,178,506,…
D38537_s_at,9,-117,-46,-184,-47,-193,-178,-689,-144,-79,-54,-222,150,…
S78771_s_at,1557,2653,1796,1329,1134,1347,1134,1430,1312,1240,1648,629,1291,…
D42040_s_at,698,1736,142,6,743,547,500,61,1055,609,1154,51,463,…
Z84497_s_at,1162,1803,1547,1039,644,1363,1144,1239,1443,1265,1442,566,900,…
D43682_s_at,1524,1980,2311,2408,1671,2562,2387,1271,3298,2396,1589,1122,1947,…
X90976_s_at,-867,-464,-510,-655,-227,-384,-1026,-1130,-827,-374,-243,-491,-470,…
X89109_s_at,1329,3045,3946,1539,1698,3001,786,13,2949,1682,796,2113,723,…
U23736_s_at,-83,-127,-84,-60,16,-3,-30,-139,-33,4,-63,10,-33,…
M19311_at,-175,-23,-96,-45,-19,-53,57,-100,-141,-97,-21,-38,-16,…
M19311_s_at,6616,6774,9452,5419,6729,6165,4961,6009,7828,3450,3843,2302,8616,…
D45917_s_at,68,144,88,-35,29,81,52,122,123,80,14,162,31,…
D49354_s_at,202,101,179,157,87,99,99,133,64,100,89,99,151,…
D49372_s_at,285,71,298,147,46,151,107,280,141,25,106,83,84,…
D49487_s_at,503,229,583,445,299,215,258,392,490,202,352,156,178,…
D49824_at,-1317,-1374,-1601,-1538,-530,-1370,-1550,-1997,-1674,-904,-1202,-1060,-567,…
D49824_s_at,31086,29288,14835,25421,29543,8097,21002,40065,16292,10073,9073,25346,30797,…
L38593_s_at,62,198,74,56,60,0,196,-11,459,25,43,-15,69,…
U50079_s_at,1621,1542,2082,1061,1512,992,1587,977,2888,937,1428,400,1077,…
D50477_s_at,-100,159,-152,-68,-32,-24,243,-179,29,26,-93,15,-33,…
X86371_s_at,539,305,566,529,299,300,441,79,473,248,387,94,242,…
Z75190_s_at,159,0,212,-6,166,92,8,5,178,97,23,87,98,…
D50855_s_at,131,57,360,142,124,62,-136,574,15,39,79,117,41,…
U58046_s_at,281,405,252,338,401,192,216,103,455,148,646,117,292,…
D55643_s_at,151,62,180,86,38,-16,245,140,27,158,18,84,52,…
D63479_s_at,947,813,371,2176,1432,261,1424,458,333,155,318,531,1166,…
D63861_s_at,138,181,250,130,477,144,211,40,370,137,154,21,177,…
D63882_s_at,-14,-87,-63,40,-11,-56,-63,-103,-6,-30,18,-47,-34,…
D63940_s_at,-145,-41,70,5,-47,39,18,259,44,-30,-97,18,57,…
S82447_s_at,109,380,597,127,557,497,-28,-86,730,716,365,304,494,…
M96954_s_at,606,591,817,548,576,485,457,347,834,588,761,159,698,…
Z79693_s_at,30,39,19,103,14,-44,6,50,69,74,56,73,59,…
Y10807_s_at,3143,3567,4649,2713,3475,3060,2597,3800,4348,3866,2926,2011,2890,…
D78132_s_at,518,952,627,445,828,318,265,379,759,901,1033,231,609,…
D78577_s_at,4256,2627,2039,1533,2481,1122,1643,1527,3476,4389,3530,2359,3568,…
D79984_s_at,342,401,313,393,121,344,460,32,554,291,861,290,586,…
S78271_s_at,230,247,406,397,408,565,418,361,802,323,368,208,962,…
U50822_rna1_s_at,-80,-116,-142,68,-41,5,-8,-151,-100,19,-38,-30,-77,…
D83017_s_at,96,63,183,161,73,21,-89,-130,-14,18,-70,-71,21,…
D83260_s_at,855,380,336,303,213,195,258,305,308,158,205,564,672,…
D85131_s_at,129,1244,660,763,427,1271,594,620,1277,491,1844,153,213,…
D85425_s_at,-65,-323,-634,148,-18,-471,-166,-175,-344,-30,-342,-146,-20,…
D85759_s_at,-343,-94,-107,-108,-227,-183,-324,-254,-348,-36,-115,-66,-180,…
U52373_s_at,69,-67,-101,-38,-22,-90,-43,-400,-33,-42,-186,-1,-194,…
D86043_s_at,36,54,117,-588,-343,-193,-97,656,-96,37,-12,-113,39,…
Y10375_s_at,68,81,207,743,74,273,623,589,758,437,104,136,13,…
D86062_s_at,-380,-103,-512,-213,413,-304,-228,-461,-226,-235,-285,-297,48,…
D86096_cds1_s_at,164,43,126,173,85,168,15,113,-47,13,92,119,103,…
HG3238-HT4861_s_at,74,-110,-28,-85,-18,-37,-120,-316,-2,-21,-43,-116,-4,…
X83857_s_at,42,-86,33,-119,23,-33,-127,-253,35,-1,-21,-1,25,…
D86331_s_at,186,230,-136,-44,232,-142,-225,-22,97,44,78,251,170,…
U19713_s_at,1418,2683,440,460,479,1385,537,208,1412,1259,1015,794,758,…
Z35085_s_at,644,647,702,395,466,293,415,680,571,356,1012,229,649,…
U65533_s_at,-215,-429,-502,-483,-258,-261,-460,-872,-579,-160,-358,-354,-313,…
X51755_cds5_s_at,-359,-312,136,-187,-195,1,-65,-320,-150,-334,-337,-182,-239,…
U52191_s_at,573,15,700,624,42,601,-94,154,651,186,530,-28,12,…
L33930_s_at,5191,9,11,1834,1178,28,84,4084,76,50,50,94,4640,…
Y08682_rna1_s_at,29,309,217,-92,110,174,-5,-11,240,102,39,54,392,…
D88155_s_at,-6,23,195,-82,53,90,-115,547,-93,32,31,218,147,…
D89377_at,314,276,244,226,243,247,268,388,334,172,243,264,132,…
D89377_s_at,31,55,59,44,-2,32,131,26,24,32,10,106,-17,…
Z74792_s_at,338,82,209,172,180,234,277,10,247,-19,220,112,436,…
X17059_s_at,148,128,92,189,125,238,152,44,90,83,161,66,35,…
D90070_s_at,474,434,55,-24,245,-39,15,316,103,282,474,209,757,…
J03260_s_at,199,178,323,371,314,21,215,605,214,135,244,152,206,…
HG1728-HT1734_at,-165,-131,-172,-140,-99,-92,-141,-140,-172,-91,-121,-5,-132,…
HG1728-HT1734_s_at,1455,2094,2586,2440,924,2820,2737,3709,1681,686,1909,1671,1380,…
D90279_s_at,-11,-65,-78,-128,-72,-176,-169,134,-6,-83,-187,-71,186,…
M64710_s_at,-577,-123,-1038,-284,-134,-478,-628,-1362,-258,-130,-198,-215,-301,…
HG2271-HT2367_at,-320,-283,-327,-465,-259,-560,-421,-370,-279,-121,-336,-261,-236,…
HG2271-HT2367_s_at,-545,-252,-394,-429,-119,-554,-475,-436,-786,-356,-154,-202,-319,…
X55448_cds1_s_at,1696,1517,1220,763,828,1162,838,1107,1457,793,734,995,1290,…
HG110-HT110_s_at,1861,999,2348,1603,2460,2500,1487,1526,4388,1775,2219,939,3283,…
HG1140-HT4817_s_at,171,302,713,80,397,449,75,44,172,414,174,113,212,…
HG1227-HT1227_s_at,-342,-139,-350,-241,-125,-129,-320,-251,-266,-241,-219,-195,-87,…
M19828_s_at,-796,-356,-839,-963,-297,-560,-858,-1178,-765,-322,-446,-352,-247,…
HG1322-HT5143_s_at,4557,5356,5517,3559,5988,3561,3342,2955,8528,4885,4495,1990,4926,…
HG1327-HT1327_s_at,-74,15,6,62,3,-8,21,166,-49,39,-7,53,24,…
M25079_s_at,17602,9868,28056,23812,3553,7809,41911,3991,978,6153,19085,13625,13604,…
HG1428-HT1428_s_at,17962,16964,23436,22240,5472,7418,33041,25832,1671,8419,17592,10660,16215,…
HG1437-HT1437_s_at,-544,-411,-564,-717,-186,-405,-542,-313,-197,-386,-367,-388,-288,…
HG1471-HT3923_s_at,485,523,256,716,482,403,633,406,619,504,640,247,230,…
HG1496-HT1496_s_at,57,117,96,95,66,23,119,67,39,21,64,28,34,…
X57351_at,2476,6070,1203,1944,3120,524,2864,2604,1047,481,266,4618,2384,…
X57351_s_at,16489,22665,7562,10996,12769,4834,16433,18892,7918,2779,2638,16858,14353,…
HG1595-HT4788_s_at,1780,1711,1879,1505,2510,2356,1416,1003,4218,2004,1432,659,2582,…
M76125_s_at,-106,-105,-192,-171,-38,-167,-204,-146,-36,-35,-79,-10,-42,…
